Taxa Group,Taxa Subgroup,Taxon Final,Common Name Final,State Status,State List Date,Federal Status,Federal List Date,Notes Draft,Notes Final,Notes Final_1
Mammals,Cricetidae,Neotoma fuscipes riparia,Riparian woodrat,NA,NA,FE,20000324,NA,NA,NA
Mammals,Cricetidae,Reithrodontomys raviventris,Salt-marsh harvest mouse,SE,19710627,FE,19701013,NA,NA,NA
Mammals,Canidae,Canis lupus,Gray wolf,SE,20170101,FDR,20201103,NA,NA,NA
Mammals,Canidae,Urocyon littoralis,Island fox,ST,19710627,(FT),NA,State listing includes all 6 subspecies on all 6,NA,NA
Mammals,Canidae,Urocyon littoralis catalinae,Santa Catalina Island Fox,(ST),NA,FT,20160912,NA,NA,NA
Mammals,Canidae,Urocyon littoralis littoralis,San Miguel Island Fox,(ST),NA,FDR,20160912,NA,NA,NA
Mammals,Canidae,Urocyon littoralis santacruzae,Santa Cruz Island Fox,(ST),NA,FDR,20160216,NA,NA,NA
Mammals,Canidae,Urocyon littoralis santarosae,Santa Rosa Island Fox,(ST),NA,FDR,20160216,NA,NA,NA
Mammals,Canidae,Vulpes macrotis mutica,San Joaquin kit fox,ST,19710627,FE,19670311,NA,NA,NA
Mammals,Canidae,Vulpes vulpes necator,Sierra Nevada red fox,ST,19801002,FPE,20200108,Proposed federal status applies only to the,NA,NA
Mammals,Mustelidae,Gulo gulo,North American wolverine,ST,19710627,NA,NA,Listed by the State of California as Gulo,NA,NA
Mammals,Mustelidae,Martes caurina humboldtensis,Humboldt (=Coastal) marten,SE,20190318,FT,20201008,Federal status refers to the coastal DPS of,NA,NA
Mammals,Mustelidae,Pekania [=Martes] pennanti,"Pacific fisher [Southern Sierra
Nevada ESU/DPS]",ST,20190318,FE,20200615,California listing is under Martes pennanti  and,NA,NA
Mammals,Felidae,Puma concolor,Mountain lion,SC,20200421,NA,NA,Not currently tracked by CNDDB.,NA,NA
Mammals,Bovidae,Ovis canadensis nelsoni,"Peninsular bighorn sheep [Peninsular CA
DPS]",ST,19710627,FE,19980318,Listed by the State of California as Ovis,NA,NA
Mammals,Bovidae,Ovis canadensis sierrae,"Sierra Nevada (= California) bighorn
sheep",SE,19990827,FE,20000103,Listed by the State of California as California,NA,NA
