OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
138,1093,BASALT,2004,410.184,22,2020,7,22,1,Buteo swainsoni,Buteo swainsoni,EBIRD
139,1313,Dome,2020,44211.08459,125,2010,5,22,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
140,1316,Del Puerto,2020,390647.2556,15,2020,9,22,1,Buteo swainsoni,Buteo swainsoni,EBIRD
141,1313,Dome,2020,44211.08459,125,2019,5,11,1,Empidonax traillii,Empidonax traillii,EBIRD
142,1313,Dome,2020,44211.08459,125,2014,4,5,1,Buteo swainsoni,Buteo swainsoni,EBIRD
143,1313,Dome,2020,44211.08459,125,2020,6,13,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
144,1105,AVENAL,2008,945.3325,11,1999,3,30,NA,Agelaius tricolor,Agelaius tricolor,EBIRD
145,1313,Dome,2020,44211.08459,125,2018,11,25,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
146,1313,Dome,2020,44211.08459,125,2017,11,13,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
147,1263,Soda,2016,2000.281,4,2014,5,23,2,Empidonax traillii,Empidonax traillii,EBIRD
148,1313,Dome,2020,44211.08459,125,2010,6,1,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
149,451,Blue Cut,2016,36266.55,4,2001,6,2,1,Empidonax traillii,Empidonax traillii,EBIRD
150,639,Blue Cut,2002,6821.039,2,2001,6,2,1,Empidonax traillii,Empidonax traillii,EBIRD
151,669,Blue Cut,2016,36266.7,4,2001,6,2,1,Empidonax traillii,Empidonax traillii,EBIRD
152,1313,Dome,2020,44211.08459,125,2019,5,18,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
153,1132,REED,2011,5899.568,1,1983,6,10,NA,Agelaius tricolor,Agelaius tricolor,EBIRD_TX
154,1093,BASALT,2004,410.184,22,2016,1,29,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
155,1316,Del Puerto,2020,390647.2556,15,2014,6,6,3,Agelaius tricolor,Agelaius tricolor,EBIRD
156,1313,Dome,2020,44211.08459,125,2016,4,23,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
157,1313,Dome,2020,44211.08459,125,1973,6,25,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
158,319,TECOPA,2010,105.7345,17,2009,6,15,NA,Empidonax traillii,Empidonax traillii,EBIRD
159,427,Tecopa,2010,105.7341,17,2009,6,15,NA,Empidonax traillii,Empidonax traillii,EBIRD
160,1313,Dome,2020,44211.08459,125,2019,5,12,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
161,707,Wildhorse,2005,63771.3,31,2019,4,13,2,Buteo swainsoni,Buteo swainsoni,EBIRD
162,1093,BASALT,2004,410.184,22,2015,4,24,1,Buteo swainsoni,Buteo swainsoni,EBIRD
163,457,Powerhouse,2013,30267.57,6,2012,4,17,969,Agelaius tricolor,Agelaius tricolor,EBIRD
164,667,Powerhouse,2013,30267.69,6,2012,4,17,969,Agelaius tricolor,Agelaius tricolor,EBIRD
165,1218,GARZA,2017,48886.66,2,2013,5,18,1,Empidonax traillii,Empidonax traillii,EBIRD
166,1292,Garza,2017,48886.47,2,2013,5,18,1,Empidonax traillii,Empidonax traillii,EBIRD
167,1285,School,2014,223.7788,4,2012,2,3,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
168,1310,School,2014,223.9,4,2012,2,3,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
169,1313,Dome,2020,44211.08459,125,2017,4,1,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
170,707,Wildhorse,2005,63771.3,31,2012,9,8,1,Buteo swainsoni,Buteo swainsoni,EBIRD
